electrode,x,y
Fp1,-0.50,1.00
AF7,-0.70,0.88
AF3,-0.33,0.93
F1,-0.15,0.82
F3,-0.45,0.70
F5,-0.65,0.60
F7,-0.80,0.45
FT7,-0.90,0.20
FC5,-0.75,0.15
FC3,-0.55,0.25
FC1,-0.30,0.35
C1,-0.20,0.15
C3,-0.45,0.10
C5,-0.70,0.05
T7,-1.00,0.00
TP7,-0.85,-0.15
CP5,-0.70,-0.20
CP3,-0.55,-0.15
CP1,-0.35,-0.08
P1,-0.20,-0.25
P3,-0.45,-0.30
P5,-0.65,-0.40
P7,-0.80,-0.55
P9,-0.95,-0.65
PO7,-0.75,-0.75
PO3,-0.45,-0.72
O1,-0.30,-0.90
Iz,0.00,-1.05
Oz,0.00,-0.95
POz,0.00,-0.75
Pz,0.00,-0.45
CPz,0.00,-0.15
Fpz,0.00,1.05
Fp2,0.50,1.00
AF8,0.70,0.88
AF4,0.33,0.93
AFz,0.00,0.90
Fz,0.00,0.75
F2,0.15,0.82
F4,0.45,0.70
F6,0.65,0.60
F8,0.80,0.45
FT8,0.90,0.20
FC6,0.75,0.15
FC4,0.55,0.25
FC2,0.30,0.35
FCz,0.00,0.30
Cz,0.00,0.15
C2,0.20,0.15
C4,0.45,0.10
C6,0.70,0.05
T8,1.00,0.00
TP8,0.85,-0.15
CP6,0.70,-0.20
CP4,0.55,-0.15
CP2,0.35,-0.08
P2,0.20,-0.25
P4,0.45,-0.30
P6,0.65,-0.40
P8,0.80,-0.55
P10,0.95,-0.65
PO8,0.75,-0.75
PO4,0.45,-0.72
O2,0.30,-0.90
