,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.0004767804986326616,0.000532412342477829,0.0005276699391344599,0.0004860580032139538,0.0005335822369743953,0.000571615655126902,0.0005739692383921664,0.0005194183129111563,0.0004697317792280807,0.0004673852878075808,0.00043278364448058067,0.00043817452819241683,0.0004759295992522954,0.00045921107477412776,0.0004628131658720493,0.0003930768040928446,0.00041927604967017997,0.0003557412388865634,0.00038898188173368725,0.0003825373998871594,0.0004017149688430185,0.000469211777942749,0.0004549571893943407,0.0010295286705831854,0.0004922955312336461,0.00036967532673247005,0.0004429525487198258,0.0004405548371165935,0.00045403695771417923,0.0003361087926102957,0.0004299281605507213,0.0005463391772172914,0.0005254020071748962,0.0005693463706428315,0.0005388725172825081,0.0005450470858812498,0.000514577423796104,0.0005184271406394042,0.0005401698456296318,0.0005928198612186171,0.0005786081071803087,0.0006094239303802434,0.0005523399470138068,0.0005117841810879651,0.000492825995398222,0.0005121937676675064,0.00045788205315036795,0.00048196001515555625,0.000517597686144226,0.0005852683253062168,0.0006004111634791026,0.0005524704041464768,0.0005812310072070155,0.0004983295932728138,0.0004249163277462661,0.0004246493123853395,0.0005902354639360819,0.00048257771217096335,0.0005208908315220841,0.0007401055449582309,0.0004497073924646366,0.0010032721277854816,0.0017435421624452468
AF7,0.0004767804986326616,0.0,0.03586065657266364,0.04956524488895196,0.046893952860284624,0.027492413623267674,0.020026218634842587,0.03132454074122777,0.025552221686621555,0.052922180873743174,0.05804823673529197,0.06498736482243252,0.05783453423211532,0.03590263408762585,0.042327193660889856,0.05835392708692867,0.050858560478113164,0.06189069124161106,0.07185991552722967,0.07357733138570478,0.0629185978963479,0.06316901647628842,0.07034059954040718,0.07724357933254508,0.07365052057111966,0.052972241304752664,0.07737797211489164,0.07744125456605211,0.08410584541569235,0.0579083890166481,0.05611280804719909,0.0590612156975756,0.02193914220905922,0.015068097223325898,0.011866489706322224,0.02363930381044598,0.037097401020544776,0.046838038876999166,0.040890767420424155,0.032149291753431994,0.019170249193760362,0.013865108731177982,0.01988859335664022,0.016322021696374908,0.033259464976530456,0.04638533685105895,0.05363950062013772,0.057672730034049435,0.04775981512855511,0.03144806486052722,0.020193187733022606,0.029503728417208698,0.04298546212225568,0.026336713417926903,0.030960899677918676,0.044978818039394755,0.03653958570770175,0.02604718816934669,0.03621729579795384,0.04945329850454953,0.06651247207431335,0.050880564643349294,0.03332904336926031,0.05705953979318361
AF3,0.000532412342477829,0.03586065657266364,0.0,0.044329642749196846,0.030634053247656987,0.024226357663198382,0.03406725115212132,0.03741857266031668,0.02943851271731185,0.04207480192191367,0.05529351040267155,0.061603036154501904,0.050861154496371526,0.039822545134028234,0.04416268392081568,0.05845031963026506,0.053220795343894414,0.060824320879888434,0.06961307314869955,0.07297680442420108,0.06558306641191751,0.06328365067090089,0.06977291129583246,0.0782102753629475,0.07216758964939853,0.051781082501543944,0.07855186584639925,0.08046084920580858,0.08685739600369918,0.05862754814426507,0.054797352039897135,0.05684418655026603,0.02517708891144636,0.019787625536064255,0.022366661861163744,0.010818461054104158,0.020099969609543897,0.04056331275338272,0.03177359112812095,0.02013289599349996,0.016273127403716364,0.022770304527407585,0.026925854125913713,0.018042655750803938,0.025430374580908625,0.040846421517424264,0.05064818874219613,0.0547265808091769,0.04388736953272318,0.027589548668015124,0.02273265071893967,0.033545243901603794,0.04409464518459391,0.028156463915762306,0.030372532894256465,0.043033674851022774,0.03613679859168022,0.02669746214643602,0.036249924340917804,0.048616565562723785,0.06686771461878663,0.049669486075606895,0.03331198450520112,0.057000238300119306
F1,0.0005276699391344599,0.04956524488895196,0.044329642749196846,0.0,0.023697447069887342,0.03784331776761775,0.044942635167289524,0.04270162700523597,0.034324612924472746,0.026450337147664434,0.038525281233469794,0.05087689352916738,0.043089635265648706,0.04098634460464077,0.045971791721712986,0.05816170794232418,0.05338791754722892,0.05833589334648076,0.0629744762514362,0.06922570398868391,0.06594488157170501,0.06269650560022423,0.06856128245759856,0.07876790674639782,0.07057135596620553,0.050007359604718526,0.07797584758078234,0.08260644907180771,0.08801253835401894,0.058222646405086675,0.05191676563594699,0.05143712910920422,0.04877753480934922,0.043510619566917874,0.03815548332150918,0.02794132771814466,0.033497586922927466,0.012429227452207248,0.010716869248327309,0.014586955304177094,0.023680625877023274,0.03532563180970706,0.03435148419743685,0.02250974164608867,0.01638898428241814,0.025227395244984064,0.03878135976497117,0.04642085930382047,0.034616626395761296,0.022388096140445533,0.025119880279254422,0.0366285447710926,0.04434540653610676,0.029453147618993356,0.0284253492774571,0.038612798875571154,0.03446110299364667,0.02683530791512143,0.036131887690560215,0.04710805636592192,0.06710193644578354,0.04768178081484282,0.03258093900342982,0.05643337900515355
F3,0.0004860580032139538,0.046893952860284624,0.030634053247656987,0.023697447069887342,0.0,0.03290197625363167,0.04318500194536567,0.04088684219547797,0.02996091135056805,0.028989595077885236,0.04302152158177251,0.05338094173575445,0.04461868494230199,0.03941144851968752,0.04544247553709951,0.05817609331420418,0.05324149156768304,0.0588151090562865,0.06356344439314116,0.06922824193806025,0.0662610707162226,0.06283434185055893,0.06836696583183823,0.07791383071555574,0.07031192795106145,0.05059084641432695,0.07699554859202809,0.08159343560140274,0.08797932250288097,0.0596899098207321,0.05159550626605019,0.05133001861968961,0.033751860981398,0.029360671768927697,0.028712497692916398,0.017111293634508553,0.01945872640360108,0.024837491134762833,0.018738653475602666,0.013029474628843704,0.017521010681418897,0.028824692039560434,0.030230600005002075,0.018212418027402193,0.01700267240155378,0.029182089197502162,0.039309323654778974,0.04689093442992132,0.03497659132697232,0.021570095178775204,0.022180310973348303,0.03487852931905913,0.044529580145399233,0.027881566698263326,0.02677042559796214,0.03798418244229665,0.034276494844160836,0.025917444270879855,0.03630882935628513,0.04834633078966352,0.06816077231346492,0.048821794024592254,0.03372280962857704,0.05813423551264464
F5,0.0005335822369743953,0.027492413623267674,0.024226357663198382,0.03784331776761775,0.03290197625363167,0.0,0.03626432654306454,0.03679764051362021,0.024099281468986274,0.047067714201750446,0.04936996333061754,0.058451251271721086,0.05455166503975063,0.03720410136620388,0.04449564945693938,0.058769612165971784,0.05198532188831215,0.06061989981697232,0.06698498999170836,0.07050070602836994,0.0645243238998562,0.06241966829637028,0.06849028700658248,0.07714395657938768,0.07095449839543977,0.05145887181329666,0.07664185933737291,0.07924836946058993,0.08662676042901107,0.059860727427097624,0.05273436840878309,0.05362495807507793,0.02006251014202621,0.018220946502092057,0.01846650686269501,0.01688067889792671,0.025842744619887285,0.03557976183701202,0.030500148889572653,0.023211523549920756,0.014442881959446558,0.019479213861409002,0.023600320177800796,0.015658158592515268,0.025386719813461467,0.03699698027539716,0.04500667644893803,0.05044007597132267,0.04031181278418148,0.025587763158365345,0.019500933694166157,0.03116964563021685,0.04309320198529998,0.025990067618646133,0.02762058057590833,0.04010691214532503,0.034770378829651075,0.025350230130247394,0.03591314329358719,0.048635707766951114,0.06732697910727804,0.0504332605392393,0.03447741940134993,0.05862546630950007
F7,0.000571615655126902,0.020026218634842587,0.03406725115212132,0.044942635167289524,0.04318500194536567,0.03626432654306454,0.0,0.026472119826362456,0.03044587869840032,0.05203068524090894,0.053198987654273854,0.06166164287036739,0.0590609837984061,0.03381204796845541,0.041404544222104336,0.05802684742279202,0.048827660244432865,0.06289408896248119,0.0694450225509221,0.07177276556356779,0.06170240249065759,0.06191520102814168,0.06850195714406788,0.07439142487188627,0.07138755371357136,0.05210672440995286,0.07516671612397255,0.07417801606007149,0.08245404146001177,0.05841302081275446,0.05446922411578787,0.05701433408311438,0.025619494879238106,0.02080505911867912,0.01401284401687243,0.02668174952605287,0.03596376597739484,0.043407857891209316,0.039283736382195567,0.03255551769889243,0.02108165902919354,0.011786727823278557,0.015522958195837586,0.0164905323846963,0.03342958445218166,0.04413319205827441,0.04999026312401318,0.054834351929372874,0.04576579367915918,0.030810892684868637,0.01761715297716008,0.025205997833771854,0.03968173966415083,0.023721517870091833,0.02899776481488557,0.04318808150852804,0.03519203374230443,0.024933609375364988,0.03522943993880172,0.04801202831128709,0.06372685699016763,0.05082668835682237,0.03469365902234841,0.05725422944149795
FT7,0.0005739692383921664,0.03132454074122777,0.03741857266031668,0.04270162700523597,0.04088684219547797,0.03679764051362021,0.026472119826362456,0.0,0.0377856031415544,0.04836303019952575,0.04926233901032319,0.058458275797511575,0.059144488280857825,0.0337437362245413,0.03780353506052161,0.057958252942626215,0.04460829645270609,0.06413949485501816,0.0668372076022327,0.06940737439911625,0.058838100771196125,0.06072776437711864,0.0673003686420148,0.0703640415543234,0.07012031818194084,0.05210489834096499,0.07252880113972184,0.06963068614921064,0.08050829628403676,0.059274349920655715,0.053790414125492535,0.0554085343481305,0.031147883227522266,0.028240687501636986,0.02120638514356021,0.030864170681766986,0.03735969565325018,0.04241390016771845,0.039656185482767274,0.03480895908972398,0.026408276139083038,0.015350298783640687,0.012840231475238327,0.01969997955677775,0.035022108002686396,0.04318080466144491,0.04764736663968041,0.052656284130114826,0.045222414119500225,0.03181257122035611,0.017029104363104623,0.020985691022692037,0.03563430810096025,0.021270320479365133,0.028517035508705164,0.042872651658398445,0.03500477096608842,0.023804153085172294,0.03391504989737057,0.04611273318006598,0.05957971951566426,0.049968122094129035,0.03485864086784022,0.05696432614050606
FC5,0.0005194183129111563,0.025552221686621555,0.02943851271731185,0.034324612924472746,0.02996091135056805,0.024099281468986274,0.03044587869840032,0.0377856031415544,0.0,0.03679450688651318,0.04113901435533683,0.05226320045665697,0.052051019577362675,0.02995869977960495,0.045934635851591125,0.05969785641490055,0.05050026314004565,0.05974319412840297,0.062253201027251355,0.06721741845929124,0.06295980923441455,0.06194383746398288,0.0673132492573217,0.07496268071784823,0.06930177144496352,0.050870748354909234,0.0739861376849445,0.07696846078616684,0.08536249905008288,0.06084479554338123,0.05141095873881178,0.05066623828992567,0.024613686161266295,0.02198485757492254,0.018872259893518234,0.022681456803056825,0.030480548584631055,0.034172348366082746,0.03049961967887029,0.024704885075778532,0.018053717231750716,0.018576833002621394,0.021900096131806743,0.014919345335065002,0.02418758909870792,0.03396584798113633,0.03990086286944654,0.04627950808514607,0.03735963418840422,0.023616283974912004,0.017145332614606462,0.029232112948227543,0.04164111394795554,0.024440352410141444,0.025571315108328555,0.03781623260066955,0.03426007757100607,0.02481338097613766,0.036043942932555396,0.04823180963481848,0.06593705976499543,0.05074793471419513,0.03572666767214628,0.05934703440938755
FC3,0.0004697317792280807,0.052922180873743174,0.04207480192191367,0.026450337147664434,0.028989595077885236,0.047067714201750446,0.05203068524090894,0.04836303019952575,0.03679450688651318,0.0,0.027846714366712697,0.04559273873324898,0.03899170748479041,0.039610017093481276,0.04879614732444998,0.05902575557442811,0.053536796325030826,0.057746037294068686,0.05897748689302637,0.06600573921769028,0.0665761949411978,0.0625770378944791,0.06728674168178964,0.07839562981438214,0.06889965086202637,0.04983554296753454,0.07669997620968388,0.08399423765379825,0.09097414951802549,0.06196053318467495,0.04920625982632015,0.04689856992838832,0.04240967263088757,0.03884750540047626,0.03699785119712822,0.028323487929642243,0.03145030066005915,0.02566726097074941,0.021363206312065997,0.019407497314291363,0.024956643947380105,0.03594898991298596,0.03565646528002577,0.02255353532841306,0.015774484324485548,0.023238465674596868,0.030865750946071354,0.04015802318930498,0.029223656823949187,0.018377776776061436,0.023485001647271027,0.03768200937862517,0.046159594861607256,0.0287956288061929,0.02453134472030579,0.03418018577307695,0.03320557497491642,0.026177695188569525,0.0376478585650011,0.04938029403848859,0.06982219230319481,0.05056334308778315,0.03609536765228848,0.060658080142483244
