,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.008101394341540682,0.00730155572603702,0.00992203294789976,0.006866847583401019,0.007257581940872005,0.006929163532920804,0.0068437533118941175,0.007264973725345891,0.007443226871258323,0.008293973053251897,0.00736950548518009,0.006912105432671282,0.006924622398542482,0.008133248208276064,0.007216139341108704,0.006956806921296635,0.006970338974845856,0.007016404265564035,0.0069988756582989205,0.0075269703929254856,0.007500396799472463,0.006964405205996367,0.007874176755438406,0.0074386146699473845,0.00756469986737733,0.00826907925467382,0.008316136325002749,0.007182153834524464,0.0084981657941929,0.008457132084760653,0.006939387274115006,0.006375531840729695,0.008954701235273721,0.00676860975200435,0.009104058912897655,0.007355071472124113,0.010007247345079014,0.006891211831176063,0.006834134075924098,0.006830957066806483,0.006778577529904611,0.008223953974507314,0.007388177647713642,0.01010343577397165,0.010065504936426793,0.00745698747325723,0.0074481053945799625,0.008341860072142344,0.008139089855804228,0.007408301009647134,0.008495344669746108,0.0068875430860610804,0.0074111013369871056,0.0070034357418126865,0.006994307070328383,0.007000305766095028,0.007017914780383491,0.0070035065679808104,0.0071718044050770695,0.007269808672535535,0.007111270894039675,0.007852630921526473,0.006865333568553711
AF7,0.008101394341540682,0.0,0.03498863889038769,0.046999256871954186,0.04414631153301941,0.026594697103813316,0.02381015961793357,0.034361505276331604,0.028736532356559867,0.04904616327969947,0.05738917682772745,0.062138254675467595,0.055370364499853636,0.035656539051131544,0.04447698062227134,0.058365856573181885,0.048845993823366025,0.0579248379367051,0.06721308223896844,0.06698173384894679,0.05820344245721783,0.0562173413203432,0.06267532068966564,0.0745755718341804,0.06864404234237957,0.05013393506134563,0.0700589665975576,0.07571756950688732,0.08019681103153367,0.05007628713880709,0.048925939959371625,0.05541494746049057,0.02185010869018485,0.0136913069517067,0.010542141596398148,0.022669613032057452,0.039705221211730125,0.04438128461892855,0.04159417065428304,0.03649607262762839,0.01907629724775832,0.017678912691508404,0.02494178061811909,0.021063927122246803,0.036809195402422806,0.04762298905081466,0.05100740129629931,0.05536935820608804,0.04807876700244289,0.033902217739301285,0.02432011994671318,0.03186193688103717,0.03950447911892563,0.028691012693721592,0.031600918038430834,0.04414511807515725,0.03527362843325463,0.02796981241684352,0.03098620287866054,0.0437329790642993,0.06337608249026505,0.04835130306715137,0.030115775533053085,0.05670596442407509
AF3,0.00730155572603702,0.03498863889038769,0.0,0.045860239726459785,0.031973614692356045,0.028561515710758715,0.036855566379061455,0.040663362679672015,0.03311700046483402,0.04269354520989841,0.0532220451828008,0.058037063514562136,0.04820108689906449,0.03999447218620318,0.044236071859711165,0.05782731598901429,0.05107026099330388,0.05727461599728574,0.0641181733226154,0.06605461002464866,0.061257021434504136,0.06028123151600356,0.06536383699972721,0.07563565312910471,0.06765431157129514,0.04872976525822959,0.07304119214107646,0.07940733135125766,0.08432819453462344,0.05276170433648438,0.047975393276791435,0.05268075725837312,0.025891107656292725,0.02403247870787795,0.028004141458808734,0.010863109945540222,0.026129172177686975,0.04335969006258242,0.03607074481054704,0.023372211068787657,0.022248677087633596,0.027576546208955166,0.03199654731774493,0.023937939841944932,0.029700052741927156,0.042230624727327096,0.050466120583950023,0.0523566048613306,0.04351930128996397,0.03023562232670627,0.03006362187241235,0.035535291765144514,0.04317965185019906,0.030677935779058918,0.03184687444242582,0.04147822175105669,0.03441505559979816,0.028666155894972088,0.0357014069850587,0.04751134733850239,0.06742037460241831,0.04703738519986034,0.03298938081652829,0.05757991159217499
F1,0.00992203294789976,0.046999256871954186,0.045860239726459785,0.0,0.023966347111991,0.035262243051124506,0.041893889109313624,0.04157842408692154,0.03519891087214536,0.029588280321903804,0.03811305481890519,0.04606805031072482,0.03987193227298213,0.041656352896274264,0.042050121899274796,0.053249994560061374,0.05134006077595286,0.05575478172553306,0.05857137400330666,0.06321782358747777,0.06228474297794292,0.05480638845845063,0.06200461165191818,0.07379756096850178,0.06581851844449589,0.046867732355102325,0.07300158391803295,0.07892252993036648,0.08567234616562713,0.053634953288731656,0.04523379069038243,0.04500251389200733,0.046140458011278265,0.04566769786066386,0.04265603220475713,0.03145588355506023,0.03129982223218116,0.013207200140946798,0.01684309728481848,0.0151495644336062,0.024472252736089502,0.03925256262506864,0.03873558154311025,0.027496436305279294,0.016160227568194727,0.02808874483365017,0.03864022053111744,0.04491043770602031,0.03412778823882021,0.024946544458849612,0.028621359272489,0.034198014404412946,0.04338094647282855,0.031289870038102734,0.029819918957624984,0.036630847918036454,0.03218766727915156,0.028412022578789515,0.03147272105907594,0.041899187742656434,0.06277974414310063,0.04528581181772677,0.0330498924482344,0.05697933871121991
F3,0.006866847583401019,0.04414631153301941,0.031973614692356045,0.023966347111991,0.0,0.036192652985214194,0.04610465208704578,0.042995460793300334,0.031937144523718645,0.02810326236003912,0.04216453707046668,0.050119674963983465,0.04212544742845253,0.03893495553100886,0.043059820319197986,0.05717222010237127,0.051197312402440735,0.05587027909476205,0.05896128820548145,0.06321016596207844,0.06225160201179456,0.05882243046510217,0.06095938063007553,0.07473981471022866,0.06504317745613218,0.047268127439125486,0.07202072721009586,0.08076343537730855,0.08580710046200128,0.054304901811307815,0.04471892557032101,0.04740600648879008,0.03164086687175556,0.032357343484357,0.030019413905175884,0.02103409871758584,0.02415272162567499,0.02388008616519278,0.02277588449132436,0.012820550512226052,0.0170532565424053,0.03263390790375788,0.03492594260812445,0.023182575825286197,0.02148547652237141,0.03140586632552894,0.03956221503541897,0.045044352788805114,0.03552582666480484,0.024248720172854007,0.02609642172504359,0.03978207366066608,0.043615196827803744,0.030008545886828844,0.028086419616891227,0.039149990080094184,0.032318286011428714,0.027824753737332925,0.030953759284222438,0.0431875702258036,0.06860629175746802,0.04759086117195575,0.033711815173421075,0.059692888392462694
F5,0.007257581940872005,0.026594697103813316,0.028561515710758715,0.035262243051124506,0.036192652985214194,0.0,0.03956942407757508,0.038939733692217926,0.027089478054452637,0.044289979829376235,0.048925700188423724,0.05604568726723171,0.05204604623862881,0.03787189506983781,0.04067221568898885,0.0576678504621439,0.05029339560220269,0.05714415345021153,0.0623076343360285,0.0641836695208371,0.06032918456727632,0.05737681715286432,0.05902172082023318,0.07074348495675359,0.06476757017966517,0.047607385499592716,0.06958232097065627,0.07672264652369015,0.0826678007403387,0.053266956270235886,0.045627846809673044,0.04919252658633183,0.020742373434065632,0.021862315922620484,0.02184567988148859,0.020840056732713164,0.025377784266461964,0.032654275157270166,0.031103858629001686,0.022031112569991497,0.017772626083350798,0.022732796115106802,0.027198195024892218,0.019624025043855887,0.026750361207213077,0.03857054576243875,0.04263617604975091,0.048733133274946494,0.040664904453266634,0.028207255385186304,0.0232058682644571,0.03255473503512325,0.04048222618478353,0.028287322125647014,0.028641684799561227,0.03873884116591519,0.03321111774809019,0.027182212529134213,0.030695758600431708,0.04357341664404223,0.06596995406241023,0.04832514081634414,0.03143421119052128,0.05919477394909981
F7,0.006929163532920804,0.02381015961793357,0.036855566379061455,0.041893889109313624,0.04610465208704578,0.03956942407757508,0.0,0.026219497462350326,0.03152209970998277,0.04609402561774455,0.05255887062304475,0.05936197805059367,0.05676561145745905,0.03315155974174155,0.03867467853151916,0.05586261843696241,0.04755860988393107,0.058915399636890395,0.06530929767759747,0.06555056731730358,0.0530524686825094,0.05903654154583158,0.059976870127012416,0.06591351018802812,0.06593987173124437,0.04900460414798555,0.06400926449062234,0.07192658062508692,0.07834131924357186,0.047128474064879536,0.04396758501631951,0.051168343620311176,0.025065817789763554,0.023440331417837655,0.016860014100188992,0.029606108195337853,0.038001403914308604,0.04007336122642913,0.036863577099874444,0.030317714757562852,0.024548977472767703,0.01034329769463047,0.020495037850057112,0.02045257438550612,0.03146118276380125,0.044928540678984184,0.045100705802126245,0.0524932677771007,0.04606956863519237,0.03319301826532659,0.021613094683710966,0.024491501519171732,0.03391612918052505,0.02621417233980363,0.026324248024129002,0.04236968723020182,0.03393211170324937,0.026817247742652865,0.030023671924830013,0.042296245563404146,0.05830565092309792,0.048360019145239436,0.02841512297967172,0.05720481527842348
FT7,0.0068437533118941175,0.034361505276331604,0.040663362679672015,0.04157842408692154,0.042995460793300334,0.038939733692217926,0.026219497462350326,0.0,0.03907068703053634,0.04401620507313081,0.0495115700802064,0.05346293767885338,0.05573833443601559,0.03292546108717952,0.03565631425586887,0.05363490196255401,0.04343371368299398,0.059330568546512315,0.062207241419353826,0.06288036493322736,0.05494690705234234,0.05808510097618909,0.05735251258143324,0.059686190901061906,0.06223222551263076,0.04798899059113013,0.062460791463679784,0.0639732666223243,0.07439563191207653,0.049702443126580266,0.046834677485500756,0.04908862925855715,0.030424729104595812,0.031027697696459695,0.023256012015961607,0.03374500720909834,0.03687931727552259,0.03904008457717291,0.036428593814149444,0.0317854471749132,0.02777795949850385,0.01772722674983539,0.016352318891713576,0.02240778778464428,0.03256789511986173,0.044346790687996025,0.04309008388377056,0.05067246358080878,0.04582869995250103,0.03410241787706416,0.01940412879781159,0.017506867033111044,0.028845372817913304,0.022273499808659208,0.02981669855008698,0.042116218872609995,0.033526138060895855,0.024956610252861146,0.027221454881961968,0.03832938708454865,0.05547482080602209,0.04588225346170166,0.028367123795176856,0.054710395284726224
FC5,0.007264973725345891,0.028736532356559867,0.03311700046483402,0.03519891087214536,0.031937144523718645,0.027089478054452637,0.03152209970998277,0.03907068703053634,0.0,0.034037596386588806,0.037277781727059624,0.04369896472918188,0.04720036573671234,0.025974699104930363,0.041685733160245216,0.05294511195523042,0.048271213961063444,0.05593976314208803,0.05747488778575455,0.0604960991350137,0.05425678368117816,0.05843741779114645,0.05762016692734495,0.0677950415939405,0.06264671463450913,0.04676248515518727,0.06244795576850418,0.07088712600325477,0.0776041804623432,0.048983771326066655,0.03851668717985651,0.04257307144876626,0.022435327818164704,0.023941406557902885,0.02077577729688126,0.0250692618566662,0.0329624734773299,0.030876561717487528,0.02885724981140482,0.0217378753947773,0.020006626084146762,0.015611790972468299,0.025011481618310693,0.01767485746940211,0.0216823405943411,0.03002557716985984,0.03417558495367797,0.040304925637220754,0.03709246090890725,0.024856533587243667,0.01999937989871166,0.025641167223151014,0.035647559531584244,0.025550393315367542,0.021624727376302756,0.03601684700696112,0.03185851843771914,0.026384776755986536,0.03196157618883524,0.04433414139319942,0.0644027684635153,0.04453356775951641,0.030214313594458694,0.05964238567290099
FC3,0.007443226871258323,0.04904616327969947,0.04269354520989841,0.029588280321903804,0.02810326236003912,0.044289979829376235,0.04609402561774455,0.04401620507313081,0.034037596386588806,0.0,0.029856179986546307,0.03782100074739411,0.0358130762717915,0.039261975729123384,0.04365823185629746,0.05175222778708092,0.05059393662545499,0.05628175325054566,0.05417725099591469,0.06088981911153445,0.06291732488644873,0.058999012984835626,0.05774535777750354,0.07202326883022976,0.06338769339661889,0.04590323201238744,0.07112355257855489,0.07972888991707701,0.08807022748697903,0.05580883233310195,0.041463883972056255,0.0386189776367022,0.037243219569813184,0.03885644142193274,0.03825196184800695,0.02964782847253103,0.03024012157748282,0.026741517955289614,0.021126283530116752,0.01689620094063093,0.02692318733340167,0.03760026554764985,0.03695008027985345,0.025688842469408956,0.014526632729765208,0.025596653018880134,0.02674362307058226,0.038519924286594086,0.0288755847929024,0.020561144633860794,0.02531389288690487,0.03419360318510638,0.040201682632483145,0.030313452838321778,0.0252772138646914,0.031985125713602555,0.030343435766411363,0.027622876788750632,0.03306992752179044,0.04587942839292717,0.06990349835555923,0.04619608073957452,0.03133691608262029,0.06238730458288461
