,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.0003692737239470162,0.0004164458454996411,0.00044212338261505655,0.00043042012591607974,0.0004055125515691433,0.0003635000567159502,0.0004627691063293429,0.0004183396887303973,0.00042881278110132917,0.0004535706413754832,0.0004635986818175412,0.0004728220499571498,0.00042108085254680214,0.0005359815954767097,0.0003754566334741824,0.0004229778168706198,0.0004766989810016817,0.00046644903237329574,0.00043211080612572973,0.00040397548430352946,0.0003932147290984317,0.0004300332977481046,0.0004119333898133994,0.0006794701897163035,0.0008089720315640373,0.0005651269951746144,0.0003915744623765767,0.0008942146832497648,0.0004614027510824866,0.0004171033967624023,0.0004029030419554998,0.00039721887907483286,0.00039865905718733125,0.0004028599443859631,0.00040097101540541953,0.00041301320330145363,0.0004531133175221414,0.0004308674392082682,0.000418771267777845,0.00038379455110887297,0.00038542908915961433,0.0003690454207798871,0.0004207929238120948,0.0005580243437863403,0.0004249830032647423,0.0004333277305711262,0.0004344374628611543,0.00039577480740005534,0.000371748375979408,0.0003734687833427457,0.00036049949394758164,0.0004202614596768324,0.0003963824019208295,0.000368104436733064,0.00039248710632087594,0.00039994287946250995,0.0004062290242829243,0.00042259424988787893,0.0004919663604756626,0.0005754983408352346,0.000578365004331122,0.001573669671567465,0.0009228506725595598
AF7,0.0003692737239470162,0.0,0.03186988729543722,0.04405246888565827,0.04111808141283818,0.022808615607527165,0.019737302983049584,0.029545713960553367,0.023112115037635127,0.049049248141528626,0.053707463567360315,0.05938004868421563,0.054481472722964726,0.03464637962002013,0.0401851712362253,0.0552055273903747,0.049517056272967035,0.05943657783583725,0.06545771514388957,0.0663321480142468,0.061495529995905115,0.06111920269742779,0.06662548220708306,0.07101256818155802,0.06803543343903153,0.04769656574133363,0.07097442946626112,0.07380157419723397,0.0800077019709446,0.0598061864637291,0.04857492659954288,0.053196613600736194,0.01671018679579044,0.01240716798936786,0.011363661456513524,0.021210239291146654,0.03246039280084753,0.042686639532369675,0.03710938160740959,0.028438041584209473,0.016700938216117296,0.0159918520788404,0.022836499602439084,0.016970371642047368,0.030720041072272254,0.04362545894234368,0.05082766317414078,0.05393128407195978,0.04442701343840621,0.03023632014642868,0.022409449929175245,0.02947161043781964,0.040962164273203636,0.026882081396517273,0.029887792284818228,0.041106054582781056,0.033473005335892,0.025532194025524278,0.03452592012406364,0.0470377441789323,0.06217377575021074,0.04804855030578035,0.03164922910009712,0.05519444581035729
AF3,0.0004164458454996411,0.03186988729543722,0.0,0.03826086023442609,0.025653968173107906,0.020597254386844066,0.03289012598663059,0.035784040909433254,0.0264535348846653,0.03935641426675722,0.05039665180599479,0.0560598515595046,0.04787613969956546,0.03803176213960549,0.04282436051569327,0.05551976524526003,0.05185002450076783,0.058091877946259945,0.06337683198021793,0.06597703990176723,0.06389289087733854,0.06167758660102124,0.065907880703639,0.071672879250274,0.06715445732748515,0.0465925357338051,0.07196306164763878,0.07621880315841999,0.08197198355007836,0.06074191180515284,0.04737997612188561,0.0511614722488823,0.021196101923415134,0.017582532130310382,0.022071575089447234,0.010350488205162076,0.01619659186140464,0.03615718318744833,0.028298073515903438,0.01832471149570742,0.015557370017598828,0.025354452714078383,0.02923307515976717,0.0198394187934375,0.024816267598366443,0.03862530948097896,0.047979377649687495,0.05139720726020464,0.04138975653170213,0.02789867892696849,0.02498252686643,0.033209972783243884,0.04209098148700144,0.028428393146613135,0.030194874653886605,0.03997573324106653,0.03355026974171036,0.02648918162939006,0.03444282975930016,0.04625358838803937,0.06267668847724844,0.04633085785995356,0.03099624336352242,0.054890376110094424
F1,0.00044212338261505655,0.04405246888565827,0.03826086023442609,0.0,0.02198538780000353,0.03481593732553754,0.04226819616213513,0.04174103754892491,0.033775938793333696,0.025321031612984473,0.03782097563895169,0.05007865415172154,0.04293044553988587,0.0414056942685402,0.04543270052093743,0.05631571071296009,0.05377126270152835,0.05817225838466739,0.060244927088284723,0.06493722718154266,0.06612821430326718,0.06230296792462271,0.0656475540175486,0.07319261129017485,0.06626827098161527,0.04552057438618066,0.07265689376266476,0.07934347789157188,0.08433222169205483,0.0625414032669732,0.04603513244877548,0.04812712058111087,0.045046779279182894,0.040275381936380666,0.03790060913981047,0.027198429799721494,0.032374525680621304,0.012497518385773104,0.011992779209429991,0.015893313859297802,0.02572233789403103,0.03711674764901327,0.036112027827106694,0.025315438800176025,0.018184197741455067,0.026333671110272714,0.040245432379172594,0.046781680236135686,0.03544867994233816,0.02425024352891447,0.027516480324543936,0.03636492142076523,0.04285587791213423,0.02979622628669951,0.029400358470899276,0.03765713761537612,0.0333787619123194,0.027184192773714522,0.03444304426437108,0.045673912189576234,0.06267562562147663,0.0450843555115363,0.030850170295660225,0.05512228359700122
F3,0.00043042012591607974,0.04111808141283818,0.025653968173107906,0.02198538780000353,0.0,0.03081848450940329,0.04096418499207998,0.04045002609691163,0.029562781006311635,0.02809587421130573,0.04141868456054719,0.05035248717269986,0.04459012937014863,0.039178813361351185,0.04447929101927769,0.05577627840266898,0.05235782755931799,0.057887178311750005,0.059324832824593415,0.06370567745707018,0.06495408190917351,0.0616076031608887,0.06476000927080994,0.07302370962620662,0.06559377584092398,0.04591800486318159,0.07138065429297363,0.07840453933566356,0.08473310506465238,0.06277927617179867,0.04517824300986628,0.04671027263344098,0.031856857944497226,0.027993706604294358,0.029095662412233117,0.01589090188499714,0.016802732864752527,0.02361162252298867,0.01810975803686036,0.012465601509720124,0.01829990789554269,0.031065546797335086,0.03261640530633647,0.020536988289081338,0.017275354416113806,0.02848707842991434,0.039060210021216256,0.04560067392101596,0.034316374039958596,0.0224849137012021,0.02444089994472107,0.03468908483039936,0.04295697183176959,0.028184477129852486,0.027015013979470346,0.035725678086071425,0.0322524695734032,0.025957187214523753,0.03465188817695784,0.046843763162006447,0.06378655329597485,0.04694859446325491,0.032219983486129644,0.05688397226027819
F5,0.0004055125515691433,0.022808615607527165,0.020597254386844066,0.03481593732553754,0.03081848450940329,0.0,0.032239577765318085,0.0353842283340013,0.02146765406981731,0.043781944204980563,0.046545977969890406,0.053752071468624055,0.05213472399231713,0.03544510758636241,0.04278667261134246,0.05551700846442684,0.05074920914928673,0.05895857452460604,0.06131712969408183,0.06399230206952183,0.06344310323441744,0.061080295662747246,0.06467392965558293,0.07069306648697876,0.06576032774793063,0.04655289585758155,0.07027081290885737,0.07558446715503607,0.08273108476035207,0.06254793811197262,0.046109894619597705,0.04880389749952881,0.018914991938144533,0.015931588356476616,0.016353595273021656,0.01524435209066956,0.02363459003924551,0.033642298867719356,0.02840569528563869,0.020209951952570415,0.01261489352343381,0.020051379262376653,0.025737345524198353,0.015533022804008706,0.023236685500082056,0.03548310742358894,0.04366136403603284,0.048387615516288944,0.03823401227985285,0.02517836797088681,0.021208986375149525,0.03090786496468691,0.041632529354828335,0.026454330481550842,0.02709599593885265,0.03723406978728682,0.032429153970371986,0.025227671368594197,0.03460310245420593,0.04707745558476318,0.06312757144671838,0.04837230579682235,0.03341278439851219,0.05717930809167465
F7,0.0003635000567159502,0.019737302983049584,0.03289012598663059,0.04226819616213513,0.04096418499207998,0.032239577765318085,0.0,0.02463660975132519,0.028762258347716067,0.049785347067686433,0.05085550842009334,0.057291205194184805,0.0568880545331389,0.03368839203176195,0.03843915559424932,0.054109457501948,0.04822569293851198,0.061040269044152384,0.06410577318291441,0.06497318352947774,0.06039126593082862,0.0600132563507184,0.06476218249786651,0.06914481013447937,0.06682772568196899,0.047444283244145444,0.06894853279752869,0.07131715520717254,0.07951303991936816,0.06049925518585993,0.04740704174193461,0.051752124551880836,0.023386286430585525,0.019149765606868367,0.012471546306201148,0.025238520827635648,0.03364716817664404,0.041152937670686306,0.03717536349593947,0.03000588851565348,0.018420693784879,0.01307503204339647,0.01837578549660026,0.015564639551651566,0.0307374695591429,0.042087436342760395,0.04840490899262193,0.05196461521742272,0.04307436041770198,0.02915035018864026,0.01937398410528831,0.02554433051618718,0.03863302552942442,0.02477889278425249,0.028007021259683563,0.0395995669216356,0.03214219114601152,0.024427009317566462,0.034284878018803006,0.04645427357805756,0.06049771873466309,0.04883708042889507,0.032550543124176344,0.05621128843842724
FT7,0.0004627691063293429,0.029545713960553367,0.035784040909433254,0.04174103754892491,0.04045002609691163,0.0353842283340013,0.02463660975132519,0.0,0.03555335693246076,0.0465404531153978,0.047505096542733556,0.0538559329118435,0.05620316450559282,0.034584138658433086,0.03360782818354601,0.05275470006632194,0.045038630267417785,0.06151955033056016,0.060805825766951246,0.061664298728715095,0.05766455047434205,0.05835054145675229,0.06251958613811089,0.06495808812711337,0.06381504811840648,0.048028949162282036,0.06524838665838939,0.06620568226013165,0.07590449453497426,0.059899683973172226,0.04595636920253952,0.04962272598282762,0.030198225072214663,0.026549272743928383,0.01932078597185581,0.03012273826373657,0.03645095047454093,0.04129759913016503,0.03822153155792259,0.03284988012610849,0.023405583091690343,0.014705222047913432,0.014047434438777316,0.01701631353779572,0.0323364868705492,0.0413339638020146,0.046175782101169516,0.04932633507663236,0.04192163695926895,0.028965554449583007,0.016258856542370467,0.020094698201440265,0.03381208601319033,0.021222352934326193,0.026362127492886876,0.03829396422494162,0.03088827454777928,0.02294704611717884,0.03269292087311007,0.04347987315935233,0.05503060929801101,0.047332086924392065,0.03179660595111586,0.055189126003160484
FC5,0.0004183396887303973,0.023112115037635127,0.0264535348846653,0.033775938793333696,0.029562781006311635,0.02146765406981731,0.028762258347716067,0.03555335693246076,0.0,0.03699697692828121,0.0409309063537228,0.04941620381768177,0.051424681933951895,0.030372402018650446,0.04194706478412194,0.0545995787438501,0.04957800466973949,0.060301009633965154,0.05807805358927774,0.06145291440967371,0.06307493754228664,0.060385443640223115,0.06294689837192034,0.0685243569633742,0.06368288104033452,0.045908597163761354,0.0680848567220653,0.07423804910931711,0.08280036559450787,0.06381798914235465,0.04461295843135995,0.046214209134102215,0.02436017641390783,0.02108732026264695,0.01777766136802677,0.021426977325903856,0.02834429569913732,0.03382586538988458,0.029929747290383193,0.02285206274467721,0.015516373806210485,0.019214307025709258,0.02361266281943777,0.014032974091464904,0.022570240978814472,0.0335478903283935,0.0402831635281872,0.045091298064649954,0.03547357833997525,0.02244386118196425,0.01799000835490496,0.028463702142748768,0.03989434216638551,0.024502246858831858,0.024850988325723435,0.03487722034436054,0.03147664975364715,0.02451891986659665,0.03450900338711848,0.046493254568983566,0.061720104589553376,0.04901775260762309,0.033508160450605624,0.0584548218404685
FC3,0.00042881278110132917,0.049049248141528626,0.03935641426675722,0.025321031612984473,0.02809587421130573,0.043781944204980563,0.049785347067686433,0.0465404531153978,0.03699697692828121,0.0,0.028743658301222694,0.04326755822244286,0.040569220491645144,0.04026323667282017,0.04701965683973094,0.05610993085361094,0.053217055188924146,0.05818608578733579,0.05594704060096134,0.06207622132721818,0.06634630099117654,0.06202239246691726,0.06393712383894173,0.07310905599086824,0.06465972288293628,0.04542449898975709,0.07090386831739313,0.08107404442969143,0.0876309498816098,0.06626114586759091,0.043549621271905384,0.043102597442669095,0.0407902537609873,0.03765429354127337,0.03685525065582901,0.027209764108610184,0.030071084539606892,0.025317082530578988,0.021313812620639815,0.018188073898833194,0.024748823313253256,0.03738346190305459,0.036864565763917605,0.02368234706541005,0.015826639055062826,0.023185962650887237,0.03254032037360258,0.0404346606140617,0.02892620967685702,0.018794584733574635,0.024732231924896993,0.03682861540433993,0.04394130829438017,0.028096916369294657,0.024760037005129472,0.03258649733348907,0.03189750368292275,0.025895525815995572,0.03515020606740805,0.04732733166205086,0.06520831863498076,0.04766474783421723,0.033751082667803266,0.05945390061468363
