,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.0012272952568485147,0.0011573949584669208,0.0011501369102400372,0.0011465195152452763,0.0011775915129480657,0.0012035744360490812,0.0012432670676918577,0.001248666395487596,0.001176304746107299,0.0011616287716305113,0.001340581485040841,0.001377040302055012,0.0014347037973046783,0.0012262452711291633,0.0012832925838015576,0.0016719748473696078,0.0016716447274221235,0.0017458162824663663,0.0023584039974331437,0.002161165042216212,0.0017751454687271418,0.001439006811316971,0.0012479076617062982,0.0016327256040495248,0.0024951588565224232,0.00173498463491929,0.0014116736108254581,0.0018727303515350103,0.002490792786012131,0.0021365729766078465,0.0015822214021572764,0.0012465165762008791,0.0012170838829131023,0.001184279588201301,0.0011624564453787706,0.0011972338333952033,0.0011577893624900948,0.0011450287831859115,0.0012471786326100247,0.0011386328882385369,0.0011698659687666884,0.0012022430186408696,0.0011061942893242037,0.001149060489812402,0.0011286922318148168,0.001135792413288295,0.0012893125335195184,0.001215085628066952,0.0012195983329397358,0.001215620029022153,0.001129164124921286,0.0012831477293076018,0.0013913020213121748,0.0013976956694792958,0.0014928144521109974,0.0019400781939965608,0.0014942153149056223,0.0014727092807361433,0.0015546889297966208,0.0017475554769300014,0.0012737720589326132,0.003317383137341059,0.0019542402952990572
AF7,0.0012272952568485147,0.0,0.005031183941973364,0.007375150197426117,0.007700784148969404,0.007657862644315445,0.00411975138794017,0.006545093208345016,0.005650225147160705,0.00810856659591314,0.008794805161209871,0.010611637304315809,0.010481406655716235,0.006409261185734045,0.005942429014963573,0.006582545952835375,0.006685763928486606,0.009725795488561933,0.01097614910986314,0.009111001289235657,0.007166691924787082,0.00653956970622499,0.006845397124390877,0.0073583137428209384,0.0072702040827667255,0.005415532951250554,0.007672015103542587,0.007864235885967387,0.009955131387100576,0.009501973363599273,0.0068205852080850254,0.007382284209326009,0.0039513135061354406,0.0022280876209259926,0.0026631712486587756,0.0025870306358316934,0.0059015231608555,0.006250000147263586,0.004151639080051157,0.003170004375771196,0.002767212032645617,0.0026074443072979622,0.003911495680968958,0.002805925587394529,0.0036099128798896887,0.005096928046929906,0.007205406057127095,0.007732448738757283,0.0056755574990244115,0.003698074803456349,0.003106191489006653,0.004341461430579972,0.006093004800833086,0.003979883312065888,0.0036443803542441553,0.005238104505554317,0.0062428303629410795,0.004763979366409006,0.005479337766689866,0.0067275802134609645,0.008890251837816474,0.0061487515893536545,0.008623813712296566,0.007970607999658881
AF3,0.0011573949584669208,0.005031183941973364,0.0,0.008689665565386712,0.008412235714149391,0.006564982557756294,0.006313856623567016,0.00583991838917527,0.0064937455895252615,0.009524200521456678,0.010948672723749015,0.0132333660329625,0.012249394182492788,0.00696275519994339,0.0051019096234799,0.00605329646109108,0.006931904834737873,0.011548359195858489,0.013249706900042051,0.010903991005004401,0.008211217497130642,0.006540313620567557,0.00688918978113657,0.008166642021729864,0.007711262064599866,0.00591675041477129,0.008832447177729743,0.009567980449629442,0.01159973485277978,0.01020336447812916,0.007604823609766927,0.009021573317213935,0.006786473600670332,0.0040034849500406745,0.0040005924709043085,0.002247057613623325,0.005017289334095758,0.007538134802950119,0.0050289024170346065,0.003749497791601175,0.004101094601377458,0.0037222114167935636,0.0044102265742660025,0.0036245783769752577,0.004400495014365388,0.006528021116715092,0.009504660908402265,0.009895237391342921,0.0071093512904019445,0.004554107442516677,0.0036542857361495963,0.004861374045780684,0.006143862768046786,0.0038443269852062954,0.004132301151262438,0.006177333785684111,0.006611119488404426,0.004672785701978465,0.005083617786439454,0.006517522839094324,0.009173586731954588,0.006269189296429287,0.009183529315255377,0.008823648020600747
F1,0.0011501369102400372,0.007375150197426117,0.008689665565386712,0.0,0.005302283601335094,0.006061120077595313,0.006698277956134298,0.006088370371431807,0.004657860623745238,0.00641248642529898,0.009047297413164207,0.013248260926595888,0.011256882118458359,0.005536121450218993,0.005220001349745558,0.0061776695879805395,0.006287577541536931,0.01095067069697504,0.01332157472967087,0.010724722398961578,0.007751850159041578,0.006551425145756706,0.007161560252390646,0.008682142979002473,0.007594074754079102,0.005321126384993479,0.008622386747465448,0.010285990127340976,0.012021387608009304,0.00977871882707942,0.007705019428998423,0.008776007917005267,0.006734166088965484,0.005418630966016052,0.004907648563988584,0.004437350278922113,0.00891700667075055,0.0027144617628583403,0.0021843147050188815,0.0034398647475313332,0.004458798184507731,0.00560018383067316,0.005586205880940685,0.003993628212550226,0.0035840472809813475,0.004139016167852166,0.007068320725212062,0.008982333038183056,0.006209617190906493,0.004158608748840954,0.0037922867296578625,0.005580770875850426,0.006335913292700643,0.004055082454013018,0.004005842291529341,0.005936855269817358,0.006667433832659256,0.004744878531827225,0.0049348987350602514,0.00628585619033571,0.00977395161319287,0.005848545505933648,0.00889391414481729,0.008890820182878791
F3,0.0011465195152452763,0.007700784148969404,0.008412235714149391,0.005302283601335094,0.0,0.006501792920778165,0.007771879354358962,0.006931988619846521,0.004922413801353425,0.005629741448056918,0.00719355902443012,0.01040661713719176,0.010492183322305521,0.005478834658758948,0.005561802136380461,0.006339090887965688,0.0063462325357576494,0.01043927329484313,0.011059400458320906,0.009472507095242269,0.007593479428768967,0.006492489192160197,0.006923789755283637,0.007948856801593419,0.00727777064398638,0.005122920162670429,0.007759456048436848,0.009133068369816796,0.011061555128111909,0.009753165562256935,0.006705036913512408,0.006898666342534674,0.005357589956820344,0.003676813100078939,0.00375203049244446,0.0033037913149727978,0.0066764803642569695,0.004074239712116324,0.002427162322005669,0.0026958327968981894,0.0036147718722862195,0.004604341527649733,0.005241143075442011,0.0035172533824529505,0.003066444898680484,0.0037828868150112703,0.005790474194315402,0.006852807444017771,0.004920011981180013,0.0034744666196900847,0.003517191516773329,0.005597001888648739,0.006663789707353736,0.0040169871073079426,0.003501111242598561,0.004934932427202074,0.006264069461375694,0.0046810111599145,0.005147658560881307,0.006703222250302975,0.009649934804025087,0.006206161989110522,0.00904174935980698,0.008530974631957124
F5,0.0011775915129480657,0.007657862644315445,0.006564982557756294,0.006061120077595313,0.006501792920778165,0.0,0.010939222323012662,0.006605847020630595,0.007245445886004627,0.009468605534212172,0.008742866752709131,0.010937055550152702,0.01216642232027676,0.007155019230497027,0.005958549647692472,0.006758860449638786,0.007053858164245837,0.011034679690830804,0.011385731384717962,0.009795344466930624,0.007816725258258309,0.006342364808710258,0.006773911142041181,0.008499960196904001,0.007857303075095466,0.005767588159397268,0.00834525600678528,0.008848086194920996,0.01118601994885947,0.010224810775941411,0.00662955847892287,0.007069065392589668,0.00458336541491868,0.0033822444891960794,0.0035323340947911027,0.002280461050421069,0.004457020038942654,0.004488605782737264,0.00329068753762286,0.003134057844406505,0.0029050344030966064,0.0034797957578148655,0.004277333034899088,0.003171976558736956,0.003309916582143996,0.00447155477477102,0.006693297091208136,0.007316892652533087,0.0050211021828614555,0.0033427263336084237,0.0030325797620967725,0.004676077842141783,0.006166051872196028,0.0037127159496014384,0.0032815614946305896,0.004808838001073193,0.005987673698827525,0.004555110652003948,0.005179583072394851,0.0065716408771978865,0.009660102216613316,0.006491538885576882,0.009166087276931486,0.009256447435781074
F7,0.0012035744360490812,0.00411975138794017,0.006313856623567016,0.006698277956134298,0.007771879354358962,0.010939222323012662,0.0,0.008107778770922822,0.008015717777005955,0.008468069309636898,0.007987517208002913,0.009507806771423953,0.009699771069964844,0.0062528392177847334,0.006672613193333296,0.007810825822079616,0.0066689689490113885,0.009128453205836709,0.010137607911818506,0.008643118807733316,0.006913355965341582,0.006892139118777273,0.007289338947466809,0.00774642821115307,0.0073761962815885405,0.00557439387585639,0.007471375229538889,0.007284411995786659,0.009605026097915687,0.009453426873867013,0.006713697996591284,0.007053494305285098,0.0033591021288304672,0.0020453449371733053,0.0025909450004244997,0.0034782327876543787,0.005920793878564972,0.005630104767432032,0.00448634938854285,0.0038178954711075245,0.002997108358230488,0.0027377284439761853,0.0038606290554744982,0.002844940993076906,0.004117162706401756,0.0053032213934840885,0.006573014054344517,0.0071412177734342126,0.005710001190696075,0.004010125622401715,0.0029026505378690146,0.00473142043365977,0.006014055673918173,0.004322921420118329,0.003953714630209856,0.005321701347489148,0.006308121051893829,0.005051098645971522,0.005719946011259017,0.006577054715607395,0.008604100443839196,0.00648927058053788,0.009020918799866851,0.008142926577492429
FT7,0.0012432670676918577,0.006545093208345016,0.00583991838917527,0.006088370371431807,0.006931988619846521,0.006605847020630595,0.008107778770922822,0.0,0.010866695486419258,0.0080806895540042,0.007350026647557451,0.008701266908083535,0.009066528300005743,0.00754330860866956,0.007994628556330239,0.007628834923844863,0.00674853512416755,0.008547551312746527,0.0093478008982919,0.008337819124435042,0.0066310112305666,0.006888169278853717,0.007851231005942868,0.007729807395616436,0.007763823874750509,0.006096711243128784,0.007497428143674703,0.0072286227147112265,0.009579114056547497,0.009875804713325996,0.007130492054825163,0.007025837090500245,0.0038647833706176964,0.003012002726758665,0.002372669019000713,0.0029827121070787094,0.00387384720805478,0.005123340680625443,0.004249933967138381,0.00368347354273175,0.0027694986715367507,0.001927095217007512,0.0026911347111432137,0.0023219121496777335,0.0037704002390993863,0.004999658357108117,0.006278032746014791,0.006908778807719978,0.005431153684067344,0.003826042660045129,0.002798197247300913,0.003407498418180834,0.004906925910149844,0.0038983682837535924,0.003704282307646204,0.005315017392879679,0.006453743307457102,0.004925276313578954,0.005280492825731086,0.0061075026017682445,0.007207886207773868,0.006013360634864173,0.009029465467736739,0.008046666071463333
FC5,0.001248666395487596,0.005650225147160705,0.0064937455895252615,0.004657860623745238,0.004922413801353425,0.007245445886004627,0.008015717777005955,0.010866695486419258,0.0,0.008744092135022486,0.006311337167609187,0.007994454365308294,0.010793597348446444,0.0058731362652597995,0.006285109923116442,0.006406266209402293,0.006532353035750923,0.00954761214561821,0.008873827824774496,0.008048586411634282,0.007033551938081739,0.0064777908893522635,0.006635244516415136,0.0073712164284912484,0.0069702398736905275,0.005214638543079455,0.006979823792468935,0.0077725116464968155,0.009848733781171582,0.009980208693559225,0.006297284940950079,0.005614143774199974,0.003909937604692819,0.0030412443954065138,0.0032671649680343306,0.003258041579072623,0.006111459820650022,0.0039975160581892785,0.003097489340128721,0.002957967249973037,0.0030618902678589462,0.00320791748414519,0.004060406911000872,0.0030124882967193516,0.002795514222050432,0.003464290287820241,0.0047473450125221995,0.005303326104773447,0.004040043739674179,0.0028002258961040347,0.0026694894624005663,0.004440475759402885,0.005676308785419532,0.003767428084501539,0.0031918342758742832,0.00428783054110874,0.006266988542887255,0.0048650755450106165,0.00533956687056597,0.0063993226560487785,0.008191933061422794,0.006100463144100609,0.009292674911510807,0.008508008325259999
FC3,0.001176304746107299,0.00810856659591314,0.009524200521456678,0.00641248642529898,0.005629741448056918,0.009468605534212172,0.008468069309636898,0.0080806895540042,0.008744092135022486,0.0,0.005577788637389359,0.00845724005808091,0.011459545339637124,0.006398646067422862,0.005911491292131736,0.006425641579923466,0.007029219872585368,0.01170961097833577,0.010694175812150713,0.009337848257180986,0.008089045145029321,0.006572756343774735,0.0068416887034151224,0.008052832585387009,0.007284284998713387,0.005104886614126272,0.007790436494769912,0.009758496769731968,0.011767649360483998,0.010418950614210432,0.006458831751014922,0.0058169695924852795,0.006682732729529454,0.005439939350511635,0.005370800755957462,0.005042434380808966,0.008978002163794756,0.0055628209679890175,0.003898897397697765,0.003891788193347825,0.004685295799077765,0.005928265622145794,0.006297807588950203,0.00420902346745115,0.003092793959748409,0.0034117464711887814,0.005396492934202321,0.005433964088250953,0.003685331473099091,0.002812104971207853,0.003788544907251856,0.006190216795389854,0.006988986578845989,0.0042199166278065305,0.0031488902163279344,0.0041639289316929605,0.006323889488123095,0.0048624960100363815,0.0054361879962829904,0.006976206692389178,0.009921047073657653,0.0065466922960419754,0.009475609813843757,0.00938597904819062
