,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.008058854295931471,0.007979419703018405,0.008176533390743299,0.009270332636530577,0.007913392476081237,0.00839405562420664,0.008092774146877618,0.008082328320093092,0.008083585832488784,0.00851124937047713,0.008261011686585145,0.008322195271033866,0.008307674476797096,0.008108456377703712,0.008238650485607015,0.008551592200760325,0.008653263003673606,0.008585249878245193,0.00928065538537094,0.0091425752419414,0.010947771656795682,0.008874929900760704,0.007982604309720948,0.008856444077715686,0.009442010051307613,0.009758677775678763,0.008397152999952577,0.00869487214969874,0.010653984282928172,0.010662651540522886,0.008505401721108263,0.0051052208839674875,0.007886424717610653,0.008896547019824431,0.007948171172514494,0.007950635095229855,0.00825431784484413,0.007989586841699415,0.008254487948693488,0.007908549373359722,0.007878646620066545,0.009168257849378794,0.008268005581205308,0.008911230466362783,0.007987438010791607,0.008031868901085482,0.008196498175644813,0.008085368522294883,0.009953269572440552,0.009815246984717472,0.00846658471175788,0.008395041324499726,0.008162596681277334,0.00839143624176851,0.00822453321265483,0.00865645900224648,0.008265189571054717,0.008186258666070862,0.008234874970068659,0.008707287980477749,0.00818162861066618,0.010355254615356703,0.008818936521242535
AF7,0.008058854295931471,0.0,0.00787496278557949,0.010644170916973552,0.011428352605973021,0.011959010959289657,0.010008256366076577,0.010509809699163387,0.012107655631626319,0.014473604035756543,0.014965889167444388,0.017437827359531182,0.014964160574366617,0.012080373254565848,0.009741432611437926,0.010866132676610334,0.01155537970748089,0.014659132680080707,0.017217439425851327,0.014012990114976719,0.011915084059598818,0.008812771981785988,0.00821722043656397,0.010720117721735,0.01173842550624938,0.00973613059961189,0.01168483970262154,0.012915304441076003,0.01370205398152961,0.012077618779222974,0.011383491977002638,0.01386061163108332,0.00820487892824828,0.003506317456756406,0.00414943974379834,0.0035934104275804845,0.010478727234398763,0.009024796476563618,0.008510307526081864,0.01090921519325757,0.0041888930872092936,0.006812921699502612,0.008270277196320723,0.007188133735209345,0.0084110653187503,0.01076067071458159,0.011933190232788434,0.014175621612625734,0.010877248069236602,0.008435136852249461,0.006338959928180928,0.00818275682882217,0.008555502556553294,0.006801194109484148,0.00764742066954327,0.010885544514694184,0.010916209037218214,0.008514914467825617,0.005909351344898946,0.007090283958934393,0.010316689820331895,0.009961211989173512,0.01111946193515379,0.0126319809128727
AF3,0.007979419703018405,0.00787496278557949,0.0,0.016367366438813397,0.01618787054859337,0.013945304199590954,0.011036917487175908,0.012087754110170084,0.014609589450373104,0.019452151336978495,0.01834532117417635,0.020463596225739882,0.01791617385694332,0.014358207225856687,0.010095546313328605,0.011787378431312839,0.012649520297154115,0.017273289000892915,0.020532910835902824,0.0175096814233252,0.013966414369955469,0.011595053594042106,0.011297050856923486,0.013050370845253272,0.013937442303234142,0.012015984287769333,0.01526581825131374,0.01696203324490272,0.016246254006154467,0.013697538027673479,0.014554750786737753,0.01727348214995836,0.010671303477297908,0.009534506575774702,0.009220544629801288,0.0058361124120893644,0.012949121415306492,0.016011356934242164,0.010713208687419248,0.008919486452364683,0.010131471136520524,0.007456396466525166,0.011109850168563591,0.01079621803875069,0.011640772547038878,0.01505910013928654,0.0163281290602427,0.017219604654314876,0.014207814962406957,0.01081876045536026,0.011587591031479688,0.010159618416932381,0.011082505426755235,0.008052794955852689,0.009638051691908981,0.013910624087436402,0.01169024773554807,0.009806491446465854,0.009507933441320627,0.011734552962227014,0.013424523142587968,0.011483302990359344,0.012876288570334864,0.014514935658618746
F1,0.008176533390743299,0.010644170916973552,0.016367366438813397,0.0,0.009073048111090304,0.008127105383191465,0.009811160509558775,0.009859944209166046,0.009135508788934427,0.011802938519373389,0.013779412580288244,0.017085601918136607,0.011648516880213044,0.010370072660631356,0.006063565079098239,0.009105754533936604,0.00985709004330006,0.014691955334707959,0.018184970980749147,0.01545789949073118,0.012311396341382466,0.007610041684308446,0.00917223100476463,0.011324768800946707,0.012678207183608483,0.010711914306330434,0.0121089321135903,0.013397187623892392,0.016048594706136232,0.014519834299900603,0.012826880998464742,0.013561270257514094,0.010195418635878932,0.009449782885793847,0.008704588171082609,0.008076606952668961,0.010967472175690765,0.004996623414868171,0.006749990317993845,0.00440554826022715,0.007052247985656322,0.009882157673835252,0.011185862936540204,0.009983322304672587,0.006208336561336818,0.011232697759408578,0.011423891402030662,0.014044497286317735,0.010907294814901486,0.008865016963555445,0.007107993853780197,0.008033268207346515,0.010023544480493576,0.0075143647398255515,0.008864135166651004,0.012727644388137695,0.011403871418122699,0.009826221712645005,0.008258064105112907,0.008433872613520375,0.011336114160411486,0.00968020162935104,0.012102121029316416,0.01390365285082719
F3,0.009270332636530577,0.011428352605973021,0.01618787054859337,0.009073048111090304,0.0,0.01333376285494399,0.012741683325416189,0.011126930256492031,0.008553229551843232,0.009130411223865277,0.01187088151266519,0.015728984100668295,0.013360050934457404,0.009394896735895629,0.010097779369187999,0.010432460172762953,0.011058211626282946,0.014851856321394795,0.016794674851521533,0.014171506877299879,0.012355781480581099,0.010670427004514529,0.009084093320231097,0.012801459037928847,0.012376402680097,0.010287753983680913,0.010555862800633507,0.013055712809935796,0.014653346816689039,0.013550734688183477,0.01050247575172282,0.012652167965727573,0.008755943572907304,0.007372521762858899,0.007244368862457615,0.006464842196513831,0.01276799774105728,0.007186633148728726,0.006524242848651648,0.005221229826718128,0.004678483753111052,0.008111925093419974,0.0087636665950504,0.006985277408924817,0.007479985268686951,0.0073564508143526474,0.009476778950248723,0.012233076306783783,0.009999229727916392,0.007302661648870726,0.007116236545775615,0.01121950681998832,0.009604843842963444,0.008862179546177172,0.008090895841630684,0.011340601819413133,0.011339501289429642,0.009826098698550518,0.00802394344347156,0.009444073154548248,0.0151716924491047,0.00909475807222747,0.012031597211289952,0.013351733212182365
F5,0.007913392476081237,0.011959010959289657,0.013945304199590954,0.008127105383191465,0.01333376285494399,0.0,0.01642172350170861,0.00934715504608422,0.012639807158408487,0.01418612785221009,0.013327829696983779,0.016629584186638124,0.015036399851391455,0.012580138549138463,0.006798155763715218,0.01078090303612894,0.011651603876610985,0.01560677033064396,0.017761562100501314,0.015043108889379037,0.012730269893185788,0.011623246325120701,0.007902060671262492,0.011189784139172087,0.012509293222936502,0.010418607184812348,0.012701191469919923,0.014276650978603924,0.01506511710755846,0.01352842434624221,0.01182864238641725,0.013337453912501001,0.008879030961564532,0.008291682881028807,0.00911666075175949,0.006072418067528347,0.007308882039045782,0.005506840753502348,0.007256044566244776,0.006001952695875472,0.0077259659959649256,0.007715916591027167,0.008225038022191593,0.00748562863317104,0.006877894324288015,0.00939445525284107,0.010310194107469924,0.013059659050560925,0.010354778625024002,0.00778604462928268,0.0065160146209905555,0.007560154460574652,0.008897003337672096,0.006665580891871177,0.0075835350042913275,0.010978427273411301,0.011218428435813707,0.008722962705526433,0.005894909498386733,0.007069296012342673,0.011884402169544771,0.009849645119502905,0.011883945810928104,0.014329134883617239
F7,0.00839405562420664,0.010008256366076577,0.011036917487175908,0.009811160509558775,0.012741683325416189,0.01642172350170861,0.0,0.010010299463086476,0.01409824073914008,0.010526271630392308,0.012719906644330228,0.015038150213251068,0.012981702872995545,0.011526897188563583,0.007063099807228739,0.011996924743017232,0.010935086708975774,0.013372956583421827,0.015712661467164542,0.013439102682973882,0.010104897726892156,0.012184854147763227,0.008283428579463167,0.008220580485992801,0.01218231747063332,0.01052106594656413,0.010095894435565406,0.012776809006935584,0.01327570515616591,0.011251048724645323,0.010697942790488782,0.012121236165662467,0.007886894135345953,0.005495456913798035,0.006524736373374462,0.007599637908801276,0.01230318845172594,0.007758626054033616,0.007186739382996443,0.005793133292653869,0.00852674747225436,0.004825800758715544,0.009185971415913636,0.008382072870089735,0.007020805923905842,0.010450844079922842,0.008143229968511512,0.012325300117413231,0.010578738487310108,0.008030624831229863,0.00829203790206141,0.005877951786339423,0.006654190552712902,0.007156148497864061,0.006581527192222513,0.010482132516204043,0.01064944781691651,0.009497163694167178,0.006261306061361068,0.007465468280495539,0.008756180308300754,0.010081754003093895,0.00905705417898117,0.012094713797303064
FT7,0.008092774146877618,0.010509809699163387,0.012087754110170084,0.009859944209166046,0.011126930256492031,0.00934715504608422,0.010010299463086476,0.0,0.013824697589577401,0.009425369778601712,0.010897014099469159,0.012269224578084645,0.011259524301671526,0.012924308445973018,0.008679119899107524,0.010960724304225216,0.011761451870421656,0.013139792206826572,0.015038992899923815,0.013404559502269743,0.01168879684575835,0.012762944477255213,0.008922055788128625,0.006798025485929879,0.012475076715881663,0.011006400121438513,0.011095098677608287,0.011502754295920653,0.012450086743557078,0.012937988850156755,0.01201837169559948,0.011898016824468012,0.006434595296403062,0.00694247669639969,0.007698257520299275,0.0059246176221030376,0.008528855799725914,0.0054949765317738345,0.0039917516143542315,0.004486996758072442,0.006428042680596291,0.00625031880577762,0.007699747574799527,0.007551851103422921,0.005364479587277023,0.00961132440005078,0.007160346728733398,0.011570824523026668,0.010043564705409812,0.007739078283451181,0.0072949567310659925,0.0052310677228898745,0.005230450416790947,0.005880248718604105,0.007641351171837385,0.010730304529970923,0.010921898374613902,0.009309012376229516,0.005774765923688588,0.006320947547405403,0.010986307761333943,0.008931578183706037,0.0106091183398591,0.012808612398642824
FC5,0.008082328320093092,0.012107655631626319,0.014609589450373104,0.009135508788934427,0.008553229551843232,0.012639807158408487,0.01409824073914008,0.013824697589577401,0.0,0.009598058062503006,0.007385974705170799,0.008883328811147385,0.009542385761558773,0.006340432601454203,0.006712689126735605,0.007499813482329623,0.010360570482416396,0.013097852961169651,0.014120816866648768,0.012613522345046852,0.008156921416326506,0.011323869117086417,0.007763350895796735,0.009282735425265318,0.011472784955231132,0.00978477721681844,0.006086180988341399,0.009769240600152832,0.013176693344336571,0.011012841198681228,0.006942015027988861,0.009913444346287352,0.006334978876594189,0.006681550618523509,0.007389813242396549,0.0065710476950734615,0.011282055635722769,0.00824507666788576,0.006440873342048255,0.004052641330892854,0.00757587867284552,0.00403113671685788,0.00931646609474815,0.008369427197442384,0.0032478547391644372,0.006283749466105437,0.005135517250516434,0.007012706225869028,0.008477900108216453,0.006423764399507252,0.006978950967738525,0.006785342592773946,0.007237769401276984,0.006740192675974081,0.0039029565437028804,0.01047393597639317,0.010795022714848352,0.009622706791636846,0.008374166938061738,0.009490947351737566,0.011611823353150306,0.007794928394388433,0.008975340170621376,0.012951391756037536
FC3,0.008083585832488784,0.014473604035756543,0.019452151336978495,0.011802938519373389,0.009130411223865277,0.01418612785221009,0.010526271630392308,0.009425369778601712,0.009598058062503006,0.0,0.009084945364762738,0.01106056506257922,0.011518059410143668,0.01066819837038658,0.006301866158241991,0.007484931658435908,0.010008913266390576,0.01545419366645248,0.015591373126887735,0.013850139446821483,0.01247307427255992,0.011206047989013089,0.007234713357099032,0.0093435680911387,0.011806102917625159,0.009843596256611692,0.010505359093502266,0.012156077934791263,0.01618833516672256,0.015009025988581316,0.010945189610714258,0.010480524013333726,0.009649525460365991,0.009145613336264785,0.009167618057183594,0.008663700027832634,0.01435346000981018,0.012572877046455194,0.00748543719117543,0.004719060347763529,0.008965067968862728,0.010307682257709588,0.009222033551634643,0.00848675210454868,0.0032823903155625965,0.008470724332107592,0.006097565675628044,0.010166694583778993,0.007812231633122954,0.006583596830923728,0.007772136232981038,0.007087669888024856,0.0065698492358137175,0.006889393570990113,0.006979817359443508,0.010322571258993043,0.010923332500188634,0.009740965457984653,0.007720771756712335,0.009735584103330806,0.012645307251673208,0.008032668025552555,0.01105447486799238,0.01414412763606498
