,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
Fp1,0.0,0.0011899417397819509,0.0011311338266957293,0.0011528265940890822,0.0011484820770292113,0.0011595948368883406,0.0011278122871702645,0.0012015625492855517,0.0012482841081359773,0.0012571392453892417,0.0012521135759452446,0.0014619424527008386,0.0015108114832123932,0.0014538059308697208,0.001558463220719444,0.0015000546295505972,0.0017711893341135453,0.0018396383417683302,0.001787133792680002,0.002452006533018229,0.0022639139280777403,0.0019425706891924995,0.0015731695324020002,0.0013024378530656746,0.0019745047957855054,0.0027075083597764803,0.0019466307878340096,0.0015874595160714415,0.0020584054311608532,0.002609286576345288,0.00218015177779559,0.0016755643665982054,0.0011443078042704213,0.0011645174819566527,0.0011594531940903202,0.0011477074179307041,0.0012067127316369997,0.0012126592858743312,0.0011868923667149012,0.001163657811002242,0.0011746669654132346,0.0011761571930825276,0.0011355837114371088,0.0011774901107604856,0.0014120074458245473,0.0012248965838454176,0.0012215561381708532,0.0013822002985055535,0.0013331207413139312,0.0013362880144667181,0.0012188538598626364,0.0011220595682333119,0.0012355204103103093,0.001354523721773186,0.0014245893144292196,0.0015656002677142437,0.0020373086277694786,0.0017326568369200783,0.0013816946127221243,0.001220154148835255,0.0013572635783241833,0.001335985960766863,0.004096772592063949,0.002181971951041896
AF7,0.0011899417397819509,0.0,0.003850225000982843,0.005030834248081655,0.005401281382331605,0.005577649299606543,0.0028836945704296913,0.0037600561860288598,0.0045486072524707774,0.006367195017907601,0.006850733693375725,0.009739651259260516,0.009361134101236407,0.005591256833607537,0.004827159131884841,0.0056805446066222325,0.006381951624717453,0.009275644395289339,0.010442080234082635,0.008602935497125234,0.007204868555134128,0.00672816603317572,0.006545495284628571,0.0067274347477455304,0.0064663249691305855,0.005276818378296552,0.006131968034301397,0.006562085396176186,0.008716200924476034,0.009539411774166005,0.007057094468844091,0.007555467346253742,0.0026010550484645203,0.002026725436101677,0.0023205721223926237,0.0020344612182710475,0.0031502774514356974,0.0043308229052843655,0.003446395734000112,0.0025337277630457012,0.0023146267131268854,0.0025795550613499675,0.003471733986959665,0.0024581906477385,0.0030542054335740937,0.004506389198299296,0.006027374642972167,0.007452875082751927,0.0057588148091301415,0.0035758516021730876,0.0027411757467294424,0.003914403906698182,0.005060286722765962,0.003329290222453861,0.0038527775298000115,0.005678265938239666,0.007621981691517349,0.004683999796602466,0.004649744863437052,0.005721520434115826,0.007922043004059447,0.0053603576724327,0.007888891410005141,0.007267204006183447
AF3,0.0011311338266957293,0.003850225000982843,0.0,0.005554860844186394,0.0051645947440886455,0.0036650877816022925,0.0041286498180137235,0.003821895019413213,0.004152929728722557,0.007083435548023002,0.008388044474720252,0.011632311182601366,0.010686113752577584,0.00546796763828991,0.004176904639334186,0.0053898074935883784,0.006391308129285411,0.010557178728319072,0.011844743488484796,0.009514943318135622,0.007785315157932755,0.006864304338664642,0.006718804957724204,0.0067695913179159585,0.006688872756810675,0.005289723048464526,0.006495648523247285,0.007398135331848342,0.009401212258275254,0.009631059530217914,0.007323805535580962,0.008365583730809744,0.004081640225189221,0.0027881612979854574,0.003015669780056512,0.001897713654075152,0.002150650424794868,0.00465122144894585,0.003351408922309943,0.002662482865204835,0.002783882274299803,0.0031739532442936584,0.0037867277123049257,0.0027163742150274777,0.0033561916784200754,0.005060752913647098,0.007222634297346495,0.008602884481904133,0.006543163691085468,0.003966923684069896,0.0028235082928087683,0.004166079085944755,0.005009100660907031,0.0031936442985622507,0.003978109961594345,0.006142843686151096,0.007705508421462669,0.004593737284389798,0.004398020510313715,0.005559345477300956,0.008190312319590146,0.005334776498927796,0.007845472517986861,0.007666574482814687
F1,0.0011528265940890822,0.005030834248081655,0.005554860844186394,0.0,0.0033829258422726025,0.004378010336873608,0.00512439337378119,0.0045651553472232384,0.003977354277309568,0.005823432010940399,0.00890806285160813,0.014267457077893892,0.012212029507111387,0.005634169581654226,0.0046824473503178895,0.0059688643791891574,0.006960882598581412,0.012166240954416487,0.014053852425973389,0.010801871097563972,0.008656699834179916,0.0073249521718020605,0.007210909946965552,0.007981190511530177,0.0070942326867182385,0.005053267363101561,0.007432235780930995,0.008976496200701723,0.01063053213910407,0.010004146143540527,0.007888696791386377,0.009299189100452156,0.006892353545653903,0.005388675938690804,0.00471028108794701,0.004278926195396643,0.006306051514024607,0.0021865397962672647,0.002089643797739031,0.0031688855007499317,0.004241808604651664,0.0048581856938192496,0.0046538183487463075,0.00337037423793759,0.0029959034248429623,0.0036723041249217036,0.00696174092944462,0.009503617726882616,0.006479297820337741,0.0038041127399726423,0.0031833826693298964,0.004717673347468218,0.005268606675031402,0.003389512830903605,0.004010867956770947,0.006454608657104269,0.007863752885921272,0.004573005046378636,0.004385589285790611,0.005788452179119032,0.008468638815944762,0.005428266288819553,0.007967390698583788,0.008237081227726536
F3,0.0011484820770292113,0.005401281382331605,0.0051645947440886455,0.0033829258422726025,0.0,0.00544514392675841,0.005725244717042312,0.004912311819118936,0.004089939489310756,0.005691311509026683,0.006717365039010415,0.0110646059918113,0.011199558705254138,0.0054167987353910645,0.004855204237557712,0.005878165536293089,0.006853050231850942,0.011440507483612455,0.011876567439719241,0.00967345044186061,0.00840209654968875,0.007223251202117609,0.006808300013887869,0.008076165842546609,0.0068080834312001,0.0053258565763735525,0.0067216456868712275,0.008082300975677257,0.009818759937409698,0.00999573672419321,0.0069993716910972305,0.007492373813289388,0.005296897320391118,0.003866775912388017,0.0037959677643955242,0.0031675675474620597,0.0038603589840579223,0.003241204570027704,0.00245337081637951,0.002637091906160109,0.003376579306607338,0.004154630350651855,0.004343920957241028,0.002992410368052936,0.0026696793196923627,0.0035455237635375323,0.005532988967124482,0.007278206612174864,0.005168198520841002,0.003099107411044748,0.002831996262222957,0.00469261963766589,0.005330783939556996,0.0032494650477005536,0.0033476929574206378,0.005283010498217605,0.007199607768318035,0.0044750836457964375,0.004476960596381787,0.005798917443434238,0.008244695825882064,0.005555419301614073,0.008226189882003267,0.008135735960999263
F5,0.0011595948368883406,0.005577649299606543,0.0036650877816022925,0.004378010336873608,0.00544514392675841,0.0,0.008992796501311986,0.006040119280112077,0.004886648486015685,0.007642391126247249,0.006754189209986724,0.009729674528507388,0.010818493442947047,0.005866013341276049,0.005564978754988613,0.005967496423518396,0.00689188453231923,0.010524770555108337,0.01060971998588121,0.008782452233226719,0.007975539978698763,0.00694718640035168,0.006470966072857061,0.006842138463174608,0.00660983759060173,0.005507895893593192,0.006265719062651687,0.00708570128723612,0.009383401635289787,0.009957864176251987,0.006720919810139078,0.006927433852178025,0.0034422029900565473,0.002398045903983585,0.002643183985202021,0.001974103059437893,0.0024421910937642735,0.0033820876175105776,0.0025334326868153203,0.0023427556169888716,0.0023690026518398246,0.0030917960689108223,0.004004841706731447,0.0024926997333328173,0.002706352396849332,0.0035774327886516195,0.005247459537355066,0.006647820478965339,0.0048919716133889605,0.0030855219327128006,0.0024842734940000717,0.004461488773575888,0.005305885762047091,0.0031908892359251333,0.0033819927995447606,0.005029851635902169,0.007168829574616723,0.004564375907534004,0.004647972658084624,0.005854641038673455,0.007873014812580787,0.005698101893167117,0.008185120281256116,0.008137863063669213
F7,0.0011278122871702645,0.0028836945704296913,0.0041286498180137235,0.00512439337378119,0.005725244717042312,0.008992796501311986,0.0,0.004584304987831202,0.006523026441486531,0.007315746108105766,0.006722098839986223,0.008954602348184335,0.008906793037042662,0.0059528718472801265,0.005105091021720462,0.006484539103677475,0.006803178303057318,0.008896131959292692,0.009780121758607648,0.008209599907018438,0.007446276400531838,0.007486931183288229,0.007259819395242484,0.0070717482407795665,0.0068949973991620185,0.00532514047073152,0.005831515848876972,0.006371512442394674,0.008453222850544105,0.009778738566462343,0.006756750097870672,0.007123510317009718,0.0027129307328842265,0.0019506565526253464,0.0022644213281862724,0.002839834421333036,0.003678504282410787,0.004487515044146476,0.0037274238079266623,0.0030679448867892427,0.0026984700642538684,0.0027627470491232813,0.002962818908602027,0.002772841469207713,0.0033212607730755883,0.004424637112245876,0.005725686707167862,0.0069015577120867914,0.005360043173143186,0.0036582773576574307,0.002830721718282319,0.003484409745858076,0.00503870216275732,0.003591146991424193,0.0037113014412880354,0.005392092721923442,0.007455083244028988,0.0047918179860277485,0.004925144581072759,0.005727548713855288,0.007561104870970891,0.005526866056323609,0.008062317689232113,0.007451139805331686
FT7,0.0012015625492855517,0.0037600561860288598,0.003821895019413213,0.0045651553472232384,0.004912311819118936,0.006040119280112077,0.004584304987831202,0.0,0.008719468404976817,0.006153410807826445,0.005764813245514333,0.007541419525343629,0.00841534969771495,0.007130586229222584,0.006551137878073624,0.007001275743813696,0.006983338942992619,0.0077375568885089,0.008383529808279238,0.007390662154792017,0.007099922796981864,0.007770881716156227,0.007412688214826757,0.007009723609605611,0.006643538653263713,0.00617755519728552,0.005716031227745845,0.00601061285840853,0.00784054991469169,0.009848029999029728,0.006796924192070929,0.006443794737951743,0.0030016121359387783,0.0026033012607486923,0.002546521715445708,0.00301772285552922,0.003444997649002578,0.0040761206736896274,0.003504473604845008,0.0030118293040465,0.0028010697372294765,0.0028764497403730802,0.0024373740396154402,0.0026729733754709286,0.003165904053060679,0.0039996191178846285,0.005020909347290772,0.006058113590416715,0.004789330209432095,0.003363484237686717,0.0025985593865467233,0.0029531875820760093,0.004045043208777017,0.003126892937304837,0.003560817543577547,0.005136798778466551,0.0072274392681676534,0.004698428778654386,0.004463779041917771,0.00491751692146409,0.006094928857893337,0.004966804831148391,0.007917932184787637,0.006983496439145418
FC5,0.0012482841081359773,0.0045486072524707774,0.004152929728722557,0.003977354277309568,0.004089939489310756,0.004886648486015685,0.006523026441486531,0.008719468404976817,0.0,0.006981721435074248,0.0053168320859998675,0.0074380555831807275,0.009798790719083548,0.005975794106895603,0.006480700116757487,0.006334813190137616,0.007104761233685972,0.009988737297060912,0.008873978157759171,0.007931568407124103,0.00808264279141996,0.0074177367628711155,0.006561456125413407,0.006792094529538521,0.006350477478218681,0.004928796080545619,0.005832117508864892,0.00686213760435969,0.009135759598040173,0.010443319994497493,0.006548773238612234,0.0057893090381670445,0.0039495056775294,0.0031094450376874514,0.003307413209094407,0.0029623754059147703,0.003869978385347489,0.0035693369193452113,0.0029479685311462516,0.0026717670203324,0.002992037401133922,0.003423611821827603,0.0038121160719334093,0.0028076165327682455,0.0024712663888069573,0.0030686742012081764,0.004391275033750216,0.005286107044556964,0.003934290613635254,0.002555892180692504,0.002780652875291441,0.0038400644646505652,0.004934331760314522,0.0032025694940374977,0.0031609834191953148,0.004504797726691801,0.007348414548997324,0.004803157370734772,0.004653047316320187,0.005352290636886406,0.007108106172867064,0.005424594627218983,0.00885753062261463,0.007865137751867684
FC3,0.0012571392453892417,0.006367195017907601,0.007083435548023002,0.005823432010940399,0.005691311509026683,0.007642391126247249,0.007315746108105766,0.006153410807826445,0.006981721435074248,0.0,0.0046593284901348545,0.008143247353432921,0.011724414452149733,0.005764846129159218,0.005233426998761908,0.005900192401558472,0.007405493809825528,0.012687235442856513,0.010843850163944615,0.009322055041467948,0.00926151031739209,0.0077691285391780305,0.006732017135027242,0.007183578535455417,0.006716832097532661,0.004926605943362077,0.006544305897942574,0.008427732377834157,0.010312018386665067,0.010842536227720159,0.00664423979475131,0.005874811924294562,0.006814295555929189,0.005521303391788734,0.005369976516499905,0.0051258659767276175,0.00674113243467724,0.0050857293193945444,0.004058379513727357,0.003984395036557897,0.004589507066746348,0.005524016668945993,0.00516776024395517,0.0038552534642540257,0.0027553760657821774,0.0029952519885248123,0.004936999848624578,0.005344297351498536,0.003691667470512914,0.0024806440770853045,0.0031081200706201554,0.004977673135102222,0.005656407875983887,0.0034917151915459625,0.002973732140490211,0.004372896524495405,0.007060011726000056,0.0046769930237594085,0.004752249097679296,0.005951667392653243,0.008233792444909476,0.005921596516282102,0.009177533589389584,0.008764461056137434
