"electrode","degree","strength","betweenness","condition","band","state","region"
"Oz",41,3.3521428910231,0.00460829493087558,"alpha_med1","alpha","meditation","occipital"
"Iz",40,3.11682696834077,0.03584229390681,"alpha_med1","alpha","meditation","occipital"
"O1",40,2.97302285722914,0.0307219662058372,"alpha_med1","alpha","meditation","occipital"
"P9",39,2.96492096294715,0.0281618023553507,"alpha_med1","alpha","meditation","other"
"PO7",37,2.58093707632238,0.0701484895033282,"alpha_med1","alpha","meditation","parietal"
"P1",30,2.126349386783,0.0471070148489503,"alpha_med1","alpha","meditation","other"
"P7",30,2.03096240410053,0.132616487455197,"alpha_med1","alpha","meditation","other"
"CP1",22,1.57108165665043,0.0624679979518689,"alpha_med1","alpha","meditation","central"
"P10",21,1.42018951648779,0.0506912442396313,"alpha_med1","alpha","meditation","other"
"P3",13,0.855972024779316,0.0317460317460317,"alpha_med1","alpha","meditation","parietal"
"C1",11,0.824334186501497,0.00153609831029186,"alpha_med1","alpha","meditation","other"
"C3",10,0.746270579630634,0.00870455709165387,"alpha_med1","alpha","meditation","central"
"AF3",10,0.74106154596769,0,"alpha_med1","alpha","meditation","frontal"
"AFz",10,0.737301284079053,0,"alpha_med1","alpha","meditation","other"
"AF7",10,0.737096855350388,0,"alpha_med1","alpha","meditation","frontal"
"Fpz",10,0.736574963134302,0.000512032770097286,"alpha_med1","alpha","meditation","other"
"F3",10,0.730374560555656,0.00102406554019457,"alpha_med1","alpha","meditation","frontal"
"F5",10,0.728442730235596,0.00102406554019457,"alpha_med1","alpha","meditation","other"
"FC1",9,0.679059574802695,0,"alpha_med1","alpha","meditation","other"
"F1",9,0.668767902182983,0,"alpha_med1","alpha","meditation","other"
"FC3",9,0.668654512201789,0,"alpha_med1","alpha","meditation","other"
"FCz",9,0.664641711239522,0.00102406554019457,"alpha_med1","alpha","meditation","other"
"Fz",9,0.664415335568058,0,"alpha_med1","alpha","meditation","frontal"
"Fp2",9,0.660542774435757,0.000512032770097286,"alpha_med1","alpha","meditation","frontal"
"F7",9,0.651024354478239,0.00102406554019457,"alpha_med1","alpha","meditation","frontal"
"FT7",9,0.630836588807615,0.00153609831029186,"alpha_med1","alpha","meditation","other"
"Cz",8,0.600290623479628,0,"alpha_med1","alpha","meditation","central"
"CP3",8,0.599787223121987,0.00563236047107015,"alpha_med1","alpha","meditation","central"
"AF4",8,0.583217726412235,0,"alpha_med1","alpha","meditation","frontal"
"FC5",8,0.581049277165614,0,"alpha_med1","alpha","meditation","other"
"AF8",8,0.568210498602072,0,"alpha_med1","alpha","meditation","frontal"
"F2",7,0.525659726901262,0,"alpha_med1","alpha","meditation","other"
"F4",7,0.512574707040677,0,"alpha_med1","alpha","meditation","frontal"
"F6",7,0.49667005141841,0.00102406554019457,"alpha_med1","alpha","meditation","other"
"C5",7,0.493474275404964,0.00768049155145929,"alpha_med1","alpha","meditation","other"
"F8",7,0.485860890079986,0.00153609831029186,"alpha_med1","alpha","meditation","frontal"
"CPz",6,0.461561564095703,0,"alpha_med1","alpha","meditation","other"
"FC2",6,0.454210725694466,0,"alpha_med1","alpha","meditation","other"
"C2",6,0.443849232100221,0,"alpha_med1","alpha","meditation","other"
"FC4",6,0.434392562288513,0,"alpha_med1","alpha","meditation","other"
"Pz",6,0.404656733837827,0.00460829493087558,"alpha_med1","alpha","meditation","parietal"
"FC6",5,0.341037393620104,0.00204813108038914,"alpha_med1","alpha","meditation","other"
"CP2",5,0.328507513212181,0.003584229390681,"alpha_med1","alpha","meditation","central"
"T7",4,0.270244456809895,0,"alpha_med1","alpha","meditation","other"
"C4",4,0.268547091268802,0,"alpha_med1","alpha","meditation","central"
"FT8",4,0.265445309273773,0.00102406554019457,"alpha_med1","alpha","meditation","other"
"O2",3,0.198296711815671,0.000512032770097286,"alpha_med1","alpha","meditation","occipital"
"POz",3,0.19745865468652,0.00153609831029186,"alpha_med1","alpha","meditation","other"
"CP5",2,0.137775611832796,0,"alpha_med1","alpha","meditation","central"
"TP7",2,0.128265641698079,0,"alpha_med1","alpha","meditation","temporal"
"PO3",1,0.0639968414735291,0,"alpha_med1","alpha","meditation","parietal"
"Fp1",0,0,0,"alpha_med1","alpha","meditation","frontal"
"P5",0,0,0,"alpha_med1","alpha","meditation","other"
"C6",0,0,0,"alpha_med1","alpha","meditation","other"
"T8",0,0,0,"alpha_med1","alpha","meditation","other"
"TP8",0,0,0,"alpha_med1","alpha","meditation","temporal"
"CP6",0,0,0,"alpha_med1","alpha","meditation","central"
"CP4",0,0,0,"alpha_med1","alpha","meditation","central"
"P2",0,0,0,"alpha_med1","alpha","meditation","other"
"P4",0,0,0,"alpha_med1","alpha","meditation","parietal"
"P6",0,0,0,"alpha_med1","alpha","meditation","other"
"P8",0,0,0,"alpha_med1","alpha","meditation","other"
"PO8",0,0,0,"alpha_med1","alpha","meditation","parietal"
"PO4",0,0,0,"alpha_med1","alpha","meditation","parietal"
"Oz",40,3.03654828819134,0.0614439324116743,"alpha_med2","alpha","meditation","occipital"
"Iz",39,2.86419111048324,0.0225294418842806,"alpha_med2","alpha","meditation","occipital"
"P9",38,2.66028320574303,0.0552995391705069,"alpha_med2","alpha","meditation","other"
"O1",34,2.28387014527826,0.0220174091141833,"alpha_med2","alpha","meditation","occipital"
"PO7",31,1.99397244805819,0.0399385560675883,"alpha_med2","alpha","meditation","parietal"
"P1",26,1.68907492447253,0.0256016385048643,"alpha_med2","alpha","meditation","other"
"CP1",23,1.51879568846521,0.0348182283666155,"alpha_med2","alpha","meditation","central"
"P10",23,1.48440798471798,0.032258064516129,"alpha_med2","alpha","meditation","other"
"P7",22,1.33470245464248,0.0762928827444957,"alpha_med2","alpha","meditation","other"
"C1",14,0.929422399318476,0.00921658986175115,"alpha_med2","alpha","meditation","other"
"AF3",13,0.880426310130851,0.00870455709165387,"alpha_med2","alpha","meditation","frontal"
"AF7",13,0.866071572222957,0.0163850486431132,"alpha_med2","alpha","meditation","frontal"
"F3",12,0.810878302640229,0.00153609831029186,"alpha_med2","alpha","meditation","frontal"
"P3",13,0.79117642877165,0.0168970814132104,"alpha_med2","alpha","meditation","parietal"
"F7",12,0.772586851556881,0.00716845878136201,"alpha_med2","alpha","meditation","frontal"
"FC1",11,0.74742005965195,0.00153609831029186,"alpha_med2","alpha","meditation","other"
"Fp2",11,0.74191998558324,0,"alpha_med2","alpha","meditation","frontal"
"F5",11,0.735490760626989,0.00512032770097286,"alpha_med2","alpha","meditation","other"
"FC3",10,0.689430592130722,0,"alpha_med2","alpha","meditation","other"
"AFz",10,0.68794248622494,0.000512032770097286,"alpha_med2","alpha","meditation","other"
"F1",10,0.68607083579077,0,"alpha_med2","alpha","meditation","other"
"Fz",10,0.673187654214527,0.00102406554019457,"alpha_med2","alpha","meditation","frontal"
"CP3",10,0.668660209077316,0.00870455709165387,"alpha_med2","alpha","meditation","central"
"AF4",9,0.61450952516307,0,"alpha_med2","alpha","meditation","frontal"
"FCz",9,0.613185653790217,0,"alpha_med2","alpha","meditation","other"
"O2",10,0.610354830687434,0.0128008192524322,"alpha_med2","alpha","meditation","occipital"
